"Дата операции";"Дата платежа";"Номер карты";"Статус";"Сумма операции";"Валюта операции";"Сумма платежа";"Валюта платежа";"Кэшбэк";"Категория";"MCC";"Описание";"Бонусы (включая кэшбэк)";"Округление на инвесткопилку";"Сумма операции с округлением"
"13.06.2025 07:32:22";"13.06.2025";"*2572";"OK";"-414,00";"RUB";"-414,00";"RUB";"4";"Местный транспорт";"4111";"Экспресс-пригород";"4,00";"0,00";"414,00"
"12.06.2025 21:56:21";"13.06.2025";"*2572";"OK";"-35,00";"RUB";"-35,00";"RUB";"";"Супермаркеты";"5499";"IP Aksinichenko Nv";"0,00";"0,00";"35,00"
"12.06.2025 21:47:16";"13.06.2025";"*2572";"OK";"-550,94";"RUB";"-550,94";"RUB";"5";"Супермаркеты";"5411";"Пятёрочка";"5,00";"0,00";"550,94"
"12.06.2025 21:35:58";"12.06.2025";"";"OK";"5100,00";"RUB";"5100,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"5100,00"
"12.06.2025 21:35:57";"12.06.2025";"";"OK";"-5100,00";"RUB";"-5100,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"5100,00"
"12.06.2025 21:35:32";"12.06.2025";"*1581";"OK";"20997,89";"RUB";"20997,89";"RUB";"";"Переводы";"";"Максим Б.";"0,00";"0,00";"20997,89"
"12.06.2025 21:28:32";"12.06.2025";"*2572";"OK";"-274,96";"RUB";"-274,96";"RUB";"2";"Супермаркеты";"5499";"Бристоль";"2,00";"0,00";"274,96"
"12.06.2025 21:18:56";"12.06.2025";"";"OK";"-170,00";"RUB";"-170,00";"RUB";"";"Переводы";"";"Гульнара Г.";"0,00";"0,00";"170,00"
"12.06.2025 19:53:14";"12.06.2025";"*2572";"OK";"-179,98";"RUB";"-179,98";"RUB";"1";"Супермаркеты";"5499";"Красное и белое";"1,00";"0,00";"179,98"
"11.06.2025 18:44:48";"11.06.2025";"*2572";"OK";"-515,94";"RUB";"-515,94";"RUB";"5";"Супермаркеты";"5411";"Пятёрочка";"5,00";"0,00";"515,94"
"11.06.2025 12:09:17";"11.06.2025";"*2572";"OK";"-1102,00";"RUB";"-1102,00";"RUB";"55";"Аптеки";"5912";"Аптека Вита";"55,00";"0,00";"1102,00"
"10.06.2025 22:28:39";"11.06.2025";"*1581";"OK";"2240,00";"RUB";"2240,00";"RUB";"";"Переводы";"";"Михаил Г.";"0,00";"0,00";"2240,00"
"10.06.2025 22:11:26";"11.06.2025";"*2572";"OK";"-3778,03";"RUB";"-3778,03";"RUB";"37";"Супермаркеты";"5411";"Пятёрочка";"37,00";"0,00";"3778,03"
"10.06.2025 20:47:28";"10.06.2025";"*2572";"OK";"-689,95";"RUB";"-689,95";"RUB";"6";"Супермаркеты";"5411";"Пятёрочка";"6,00";"0,00";"689,95"
"10.06.2025 17:06:52";"10.06.2025";"";"OK";"-3000,00";"RUB";"-3000,00";"RUB";"";"Переводы";"";"Игорь Д.";"0,00";"0,00";"3000,00"
"10.06.2025 16:32:03";"10.06.2025";"";"OK";"-15500,00";"RUB";"-15500,00";"RUB";"";"Переводы";"";"Сергей И.";"0,00";"0,00";"15500,00"
"10.06.2025 16:30:39";"10.06.2025";"*1581";"OK";"14443,00";"RUB";"14443,00";"RUB";"";"Переводы";"";"Максим Б.";"0,00";"0,00";"14443,00"
"10.06.2025 10:07:46";"10.06.2025";"";"OK";"1226,00";"RUB";"1226,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"1226,00"
"10.06.2025 10:07:45";"10.06.2025";"";"OK";"-1226,00";"RUB";"-1226,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"1226,00"
"10.06.2025 09:59:20";"10.06.2025";"";"OK";"31000,00";"RUB";"31000,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"31000,00"
"10.06.2025 09:59:19";"10.06.2025";"";"OK";"-31000,00";"RUB";"-31000,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"31000,00"
"10.06.2025 09:58:49";"10.06.2025";"*1581";"OK";"60000,00";"RUB";"60000,00";"RUB";"";"Переводы";"";"Максим Б.";"0,00";"0,00";"60000,00"
"09.06.2025 19:01:31";"09.06.2025";"*2572";"OK";"-765,63";"RUB";"-765,63";"RUB";"7";"Супермаркеты";"5411";"Пятёрочка";"7,00";"0,00";"765,63"
"09.06.2025 18:52:04";"09.06.2025";"";"OK";"1000,00";"RUB";"1000,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"1000,00"
"09.06.2025 18:52:03";"09.06.2025";"";"OK";"-1000,00";"RUB";"-1000,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"1000,00"
"09.06.2025 18:47:39";"09.06.2025";"*2572";"OK";"-52,98";"RUB";"-52,98";"RUB";"";"Красота";"5311";"Магнит Косметик";"0,00";"0,00";"52,98"
"09.06.2025 18:47:12";"09.06.2025";"";"OK";"300,00";"RUB";"300,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"300,00"
"09.06.2025 18:47:11";"09.06.2025";"";"OK";"-300,00";"RUB";"-300,00";"RUB";"";"Переводы";"";"Перевод между счетами";"0,00";"0,00";"300,00"
"09.06.2025 18:45:48";"10.06.2025";"*2572";"OK";"-35,00";"RUB";"-35,00";"RUB";"";"Супермаркеты";"5499";"IP Aksinichenko Nv";"0,00";"0,00";"35,00"
"09.06.2025 14:09:07";"09.06.2025";"*1581";"OK";"-7,00";"RUB";"-7,00";"RUB";"";"Цифровые товары";"5816";"ВКонтакте";"0,00";"0,00";"7,00"
"08.06.2025 21:38:58";"08.06.2025";"";"OK";"-400,00";"RUB";"-400,00";"RUB";"";"Переводы";"";"Анатолий Ф.";"0,00";"0,00";"400,00"
"08.06.2025 17:17:19";"08.06.2025";"";"OK";"-300,00";"RUB";"-300,00";"RUB";"";"Переводы";"";"Денис Б.";"0,00";"0,00";"300,00"
"08.06.2025 17:12:46";"08.06.2025";"*2572";"OK";"-111,88";"RUB";"-111,88";"RUB";"1";"Супермаркеты";"5499";"Красное и белое";"1,00";"0,00";"111,88"
"08.06.2025 17:00:29";"08.06.2025";"*2572";"OK";"-173,00";"RUB";"-173,00";"RUB";"1";"Супермаркеты";"5921";"Magazin Beerka";"1,00";"0,00";"173,00"
"08.06.2025 16:26:48";"08.06.2025";"*2572";"OK";"-314,97";"RUB";"-314,97";"RUB";"3";"Супермаркеты";"5499";"Красное и белое";"3,00";"0,00";"314,97"
"08.06.2025 16:22:03";"08.06.2025";"*2572";"OK";"-806,50";"RUB";"-806,50";"RUB";"8";"Различные товары";"5331";"Fix Price";"8,00";"0,00";"806,50"
"08.06.2025 16:04:04";"08.06.2025";"*2572";"OK";"-906,81";"RUB";"-906,81";"RUB";"9";"Супермаркеты";"5499";"Продукты Ермолино";"9,00";"0,00";"906,81"
"08.06.2025 09:23:35";"08.06.2025";"*2572";"OK";"-89,99";"RUB";"-89,99";"RUB";"";"Супермаркеты";"5499";"Бристоль";"0,00";"0,00";"89,99"
"08.06.2025 07:58:15";"08.06.2025";"*1581";"OK";"1000,00";"RUB";"1000,00";"RUB";"";"Переводы";"";"Михаил Г.";"0,00";"0,00";"1000,00"
"07.06.2025 22:50:28";"08.06.2025";"*1581";"OK";"1000,00";"RUB";"1000,00";"RUB";"";"Переводы";"";"Метакся Г.";"0,00";"0,00";"1000,00"
"07.06.2025 18:49:56";"07.06.2025";"*2572";"OK";"-239,96";"RUB";"-239,96";"RUB";"2";"Супермаркеты";"5411";"Пятёрочка";"2,00";"0,00";"239,96"
